video_block,time,salient_variable,video_path,start_time_s,end_time_s
Frank Objects,0:20,Marble,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,20.0,25.0
Frank Objects,0:25,balls,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,25.0,28.0
Frank Objects,0:28,Lava lamp,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,28.0,36.0
Frank Objects,0:36,spinning wheel,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,36.0,40.0
Frank Objects,0:40,Pinwheel,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,40.0,45.0
Frank Objects,0:45,Marbles,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,45.0,54.0
Frank Objects,0:54,"balls, bell",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,54.0,60.12
Frank Play,0:00,"face, piano, stool",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,0.0,4.0
Frank Play,0:04,"face, bowls, hands",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,4.0,9.0
Frank Play,0:09,"face, chair, hands",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,9.0,13.0
Frank Play,0:13,"face, hands, fridge, bowl",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,13.0,18.0
Frank Play,0:18,"Face, hands, cups",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,18.0,20.0
Frank Play,0:20,"face, hands, lamp",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,20.0,22.0
Frank Play,0:22,"face, hands, blanket",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,22.0,26.0
Frank Play,0:26,"face, flower",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,26.0,28.0
Frank Play,0:28,"face, hands, tissue",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,28.0,32.0
Frank Play,0:32,"face, hands, building block",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,32.0,34.0
Frank Play,0:34,"face, hands, feet, ball",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_play_stripped.mp4,34.0,37.0
