prompt_idx,row_idx,video_block,time,video_path,start_time_s,end_time_s,annotation_raw,prompt,include_coord,exclude_coord
105,49,Slow People,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,0.0,15.0,dog,dog,,
106,50,Slow People,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,15.0,30.0,faces,faces,,
107,50,Slow People,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,15.0,30.0,hands,hands,,
108,50,Slow People,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,15.0,30.0,rocks,rocks,,
109,51,Slow People,0:30,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,30.0,45.0,logs,logs,,
110,51,Slow People,0:30,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,30.0,45.0,hands,hands,,
111,51,Slow People,0:30,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,30.0,45.0,faces,faces,,
112,52,Slow People,0:45,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,45.0,60.7607,Faces,Faces,,
113,52,Slow People,0:45,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,45.0,60.7607,hands,hands,,
114,52,Slow People,0:45,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,45.0,60.7607,ball,ball,,
115,52,Slow People,0:45,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,45.0,60.7607,bat,bat,,
116,53,Frank Complex,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,0.0,5.0,face,face,,
117,53,Frank Complex,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,0.0,5.0,mountain,mountain,,
118,54,Frank Complex,0:05,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,5.0,10.0,face (baby),baby face,,
119,54,Frank Complex,0:05,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,5.0,10.0,hands,hands,,
120,54,Frank Complex,0:05,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,5.0,10.0,ball,ball,,
121,55,Frank Complex,0:10,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,10.0,15.0,faces,faces,,
122,55,Frank Complex,0:10,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,10.0,15.0,bed,bed,,
123,55,Frank Complex,0:10,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,10.0,15.0,window,window,,
124,56,Frank Complex,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,15.0,20.0,Faces,Faces,,
125,56,Frank Complex,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,15.0,20.0,hands,hands,,
126,56,Frank Complex,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,15.0,20.0,plates,plates,,
127,56,Frank Complex,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,15.0,20.0,bouquet,bouquet,,
128,57,Frank Complex,0:20,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,20.0,25.0,faces,faces,,
129,57,Frank Complex,0:20,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,20.0,25.0,hands,hands,,
130,57,Frank Complex,0:20,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,20.0,25.0,ice cream,ice cream,,
