system_time_stamp,time,left_x,left_y,left_valid,left_pupil,left_pupil_valid,right_x,right_y,right_valid,right_pupil,right_pupil_valid,gaze_x,gaze_y,pupil_size,events
438017450014,-33.0,1070.5742,455.9498,1,3.1335,1,946.4513,344.1466,1,3.0896,1,1008.5127,400.0482,3.1116,
438017454014,-29.0,1071.5949,457.071,1,3.1745,1,940.131,337.0452,1,3.1078,1,1005.8629,397.0581,3.1411,
438017458014,-25.0,1057.7728,466.1001,1,3.1559,1,941.5033,330.579,1,3.0639,1,999.638,398.3396,3.1099,
438017462013,-21.0,1064.8735,452.2023,1,3.1151,1,939.2083,335.1467,1,3.047,1,1002.0409,393.6745,3.0811,
438017466010,-17.0,1064.5671,438.2944,1,3.1577,1,935.1374,335.3593,1,3.0303,1,999.8522,386.8269,3.094,
438017470010,-13.0,1061.1448,446.8326,1,3.1443,1,939.2575,334.2327,1,3.0443,1,1000.2011,390.5327,3.0943,
438017474010,-9.0,1052.3359,459.2871,1,3.127,1,950.173,351.1301,1,3.0656,1,1001.2544,405.2086,3.0963,
438017478010,-5.0,1074.6184,470.7813,1,3.1145,1,934.3607,344.8885,1,3.0568,1,1004.4896,407.8349,3.0857,
438017482010,-1.0,1070.7975,460.9557,1,3.1839,1,933.1682,328.8444,1,3.157,1,1001.9829,394.9001,3.1705,
438017483048,0.0,,,0,,0,,,0,,0,,,,Trial_0_Start|Video_Sea.mp4
438017486010,3.0,1065.3225,465.4357,1,3.1435,1,950.372,330.1005,1,3.0936,1,1007.8472,397.7681,3.1186,
438017490010,7.0,1061.1389,455.5214,1,3.1346,1,939.3049,327.1877,1,3.0939,1,1000.2219,391.3546,3.1143,
438017494010,11.0,1057.0869,454.4696,1,3.1368,1,915.6484,330.2868,1,3.1037,1,986.3676,392.3782,3.1203,
438017498010,15.0,1058.8362,456.1049,1,3.1853,1,936.7778,341.4063,1,3.0335,1,997.807,398.7556,3.1094,
438017502009,19.0,1060.3596,465.2917,1,3.1445,1,933.2847,336.0958,1,3.0764,1,996.8222,400.6938,3.1104,
438017506009,23.0,1063.4562,463.4628,1,3.1395,1,915.1488,331.6691,1,3.0938,1,989.3025,397.566,3.1167,
438017510009,27.0,1070.8376,464.3025,1,3.1203,1,942.1983,333.3396,1,3.0937,1,1006.518,398.821,3.107,
438017514009,31.0,1033.7094,466.3492,1,3.1452,1,953.2093,340.6466,1,3.1049,1,993.4594,403.4979,3.1251,
