participant_id,trial_index,trial_name,block_id,block_index,n_samples,trial_duration_sec,valid_duration_sec,left_n_valid,left_percent_valid,right_n_valid,right_percent_valid,mean_percent_valid,val_left_deg,val_right_deg,val_mean_deg,val_left_px,val_right_px,val_mean_px
HMET015,3,sesameindia_2,sesame,0,14926,59.69,52.64,13948,93.45,12370,82.88,88.16,2.3717,2.9325,2.6521,7.1572,8.8494,8.0033
HMET015,4,frank_objects,frank,1,14920,59.67,41.0,10533,70.6,9967,66.8,68.7,,,,,,
HMET015,5,frank_play,frank,1,14918,59.66,53.09,13448,90.15,13097,87.79,88.97,,,,,,
HMET015,6,frank_complex,frank,1,14921,59.67,44.05,10302,69.04,11722,78.56,73.8,,,,,,
HMET015,7,slow_inanimate,slow,2,14918,59.66,48.97,13199,88.48,11287,75.66,82.07,,,,,,
HMET015,8,slow_hands,slow,2,14916,59.65,51.88,13455,90.21,12485,83.7,86.95,,,,,,
HMET015,9,slow_people,slow,2,14916,59.65,49.94,13634,91.41,11335,75.99,83.7,,,,,,
HMET015,10,slow_animals,slow,2,14918,59.66,25.33,7571,50.75,5094,34.15,42.45,,,,,,
HMET015,11,pixar_birds,pixar,3,37419,149.67,83.28,20795,55.57,20846,55.71,55.64,2.9682,2.7885,2.8784,8.9571,8.4149,8.686
HMET016,0,sesameus_1,sesame,0,14918,59.66,17.2,5716,38.32,2884,19.33,28.82,0.746,0.7238,0.7349,2.2512,2.1843,2.2177
HMET016,1,sesameindia_2,sesame,0,14919,59.67,8.56,1777,11.91,2501,16.76,14.34,0.746,0.7238,0.7349,2.2512,2.1843,2.2177
HMET016,2,sesameindia_1,sesame,0,14925,59.69,3.8,1786,11.97,113,0.76,6.36,0.746,0.7238,0.7349,2.2512,2.1843,2.2177
HMET016,3,sesameus_2,sesame,0,14923,59.68,20.72,6864,46.0,3498,23.44,34.72,0.746,0.7238,0.7349,2.2512,2.1843,2.2177
HMET016,4,frank_objects,frank,1,14923,59.68,40.63,12375,82.93,7942,53.22,68.07,14.5262,14.0985,14.3123,43.8359,42.545,43.1904
HMET016,5,frank_play,frank,1,14916,59.65,21.07,8081,54.18,2454,16.45,35.31,14.5262,14.0985,14.3123,43.8359,42.545,43.1904
HMET016,6,frank_complex,frank,1,14921,59.67,8.6,3642,24.41,659,4.42,14.41,14.5262,14.0985,14.3123,43.8359,42.545,43.1904
HMET016,7,slow_animals,slow,2,14918,59.66,27.89,8248,55.29,5696,38.18,46.74,,,,,,
